Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Mercedes-Benz,S-Class 350 L,1727699,2017,26000,Petrol,Manual,Delhi,Brown,Second,Individual,3498 cc,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD,5226.0,2120.0,1479.0,5.0,90.0
Mahindra,Thar LX 4-STR Hard Top Diesel MT,1965418,2006,14500,Diesel,Automatic,Hyderabad,Green,Second,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
Ford,Figo Duratec Petrol ZXI 1.2,252315,2002,73000,Petrol,Automatic,Thane,Yellow,Second,Corporate,1196 cc,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
Mercedes-Benz,S-Class 350 CDI L,1433715,2006,72100,Diesel,Manual,Mumbai,White,Third,Individual,2987 cc,235 bhp @ 4000 rpm,490 Nm @ 1800 rpm,RWD,5226.0,2120.0,1479.0,5.0,90.0
Audi,A4 2.0 TDI (143 bhp),1191862,2023,50000,Diesel,Automatic,Mumbai,Silver,First,Dealer,,,,,,,,,
Audi,A4 1.8 TFSI Multitronic Premium Plus,2935937,2012,28600,Petrol,Manual,Lucknow,Silver,Second,Individual,1798 cc,170 bhp @ 3800 rpm,320 Nm @ 1400 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
Volkswagen,Polo Highline1.2L (P),474285,2002,50000,Petrol,Manual,Delhi,Silver,Third,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0
Maruti Suzuki,Swift VXi [2014-2017],522323,2004,40000,Petrol,Automatic,Patna,White,First,Dealer,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Maruti Suzuki,Wagon R VXI,340825,2019,72019,Petrol,Automatic,Ranchi,Grey,First,Corporate,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Hyundai,Verna Fluidic 1.6 VTVT SX Opt,368379,2019,53000,Petrol,Manual,Mumbai,Black,Second,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Hyundai,Elite i20 Sportz 1.4 CRDI,623102,2019,65000,Diesel,Automatic,Kheda,Brown,First,Corporate,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Audi,Q7 Technology 55 TFSI,8720723,2013,4500,Petrol,Manual,Delhi,Yellow,Third,Corporate,2995 cc,335 bhp @ 5200 rpm,500 Nm @ 1370 rpm,AWD,5064.0,1970.0,1703.0,7.0,85.0
Hyundai,i10 Asta 1.2 AT with Sunroof,314750,2015,46721,Petrol,Automatic,Thane,Red,Second,Corporate,1197 cc,80@5200,111@4000,FWD,3565.0,1595.0,1550.0,5.0,35.0
Maruti Suzuki,Swift DZire VXI,318573,2008,68000,Petrol,Automatic,Kanpur,Silver,First,Corporate,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Maruti Suzuki,Wagon R VXi (O),446426,2001,43000,Petrol,Manual,Allahabad,Black,Third,Individual,998 cc,67.7 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636.0,1475.0,1670.0,5.0,35.0
Maruti Suzuki,Baleno Sigma 1.2,571422,2018,53000,Petrol,Manual,Jalandhar,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Toyota,Innova 2.5 V 7 STR,912896,2009,222000,Diesel,Manual,Hyderabad,Grey,Third,Dealer,2494 cc,102@5600,200@1400,,4555.0,1770.0,1755.0,7.0,55.0
Tata,Nexon XZA Plus Petrol,892279,2009,35000,Petrol,Automatic,Chennai,Silver,Second,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0
Honda,Jazz V AT Petrol,604496,2004,80000,Petrol,Manual,Delhi,Silver,Third,Dealer,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
Maruti Suzuki,Baleno Delta 1.2,597031,2012,32000,Petrol,Automatic,Delhi,Blue,Second,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Tata,Harrier XZ,2139254,2013,23000,Diesel,Automatic,Hyderabad,Red,First,Corporate,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598.0,1894.0,1706.0,5.0,50.0
Honda,City VX CVT Petrol [2017-2019],989968,2009,29386,Petrol,Automatic,Bangalore,Red,Second,Dealer,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Jaguar,XE Prestige Diesel,3049919,2005,29999,Diesel,Automatic,Bangalore,Red,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD,4795.0,1967.0,1416.0,5.0,56.0
Audi,A3 35 TDI Premium + Sunroof,1767351,2013,55000,Diesel,Automatic,Mumbai,Black,First,Dealer,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],1403029,2005,55000,Petrol,Automatic,Hyderabad,Silver,Third,Dealer,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
Hyundai,Xcent S 1.2,418730,2001,74000,Petrol,Manual,Ahmedabad,Green,Second,Corporate,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
Maruti Suzuki,Swift ZDi Plus,746163,2001,80849,Diesel,Manual,Hyderabad,Green,Second,Dealer,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Hyundai,Verna 1.6 CRDI SX,739706,2023,79800,Diesel,Manual,Karnal,Yellow,Third,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Audi,A4 2.0 TDI (177bhp) Premium,1000649,2009,75000,Diesel,Manual,Lucknow,Yellow,Third,Dealer,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
Maruti Suzuki,Vitara Brezza ZDi Plus,717320,2012,64000,Diesel,Automatic,Kolkata,White,First,Dealer,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,Ritz Ldi BS-IV,184475,2010,75000,Diesel,Automatic,Kanpur,Brown,Second,Individual,1248 cc,75@4000,190@2000,,3715.0,1680.0,1620.0,5.0,43.0
Renault,Kwid RXT [2015-2019],314738,2014,15507,Petrol,Automatic,Pune,White,Third,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
Mercedes-Benz,C-Class 220 CDI AT,4895983,2021,4600,Diesel,Automatic,Bangalore,Blue,First,Dealer,2148 cc,170@3700,410@2000,RWD,4596.0,1770.0,1447.0,5.0,66.0
Mahindra,Xylo D4,344711,2017,70000,Diesel,Manual,Patna,Brown,Second,Corporate,2489 cc,95@3600,220@1400,,4520.0,1850.0,1895.0,8.0,55.0
Volkswagen,Tiguan Highline TDI,2852944,2022,17904,Diesel,Automatic,Mumbai,Silver,Second,Individual,1968 cc,141 bhp @ 4000 rpm,340 Nm @ 1750 rpm,AWD,4486.0,1839.0,1672.0,5.0,71.0
Maruti Suzuki,Swift ZXi AMT [2018-2019],715023,2003,8000,Petrol,Automatic,Mumbai,Red,Second,Dealer,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Maruti Suzuki,Swift VXi,354425,2022,68000,Petrol,Automatic,Mumbai,Black,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Toyota,Corolla Altis VL AT Petrol,1655929,2007,25914,Petrol,Manual,Pune,Red,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620.0,1775.0,1475.0,5.0,55.0
Mahindra,XUV300 W8 (O) 1.5 Diesel,1310611,2019,31348,Diesel,Automatic,Bangalore,Yellow,Second,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995.0,1821.0,1627.0,5.0,42.0
Maruti Suzuki,Baleno Delta 1.2 AT,538710,2007,36000,Petrol,Manual,Zirakpur,White,Second,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,Creta SX Plus 1.6 AT CRDI,1138893,2019,97000,Diesel,Automatic,Zirakpur,Brown,Third,Corporate,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Skoda,Superb L&K TDI AT,2623038,2014,82900,Diesel,Automatic,Coimbatore,White,First,Individual,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0
Kia,Sonet GTX Plus 1.0 DCT [2020-2021],1142974,2016,15000,Petrol,Manual,Kolkata,Red,Third,Dealer,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1790.0,1647.0,5.0,45.0
Mahindra,Scorpio S9 2WD 7 STR,1364536,2020,61805,Diesel,Manual,Guwahati,Brown,Second,Corporate,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
Mercedes-Benz,B-class B180 Sports,1167142,2004,52000,Petrol,Automatic,Delhi,Red,First,Corporate,1595 cc,120 bhp @ 5000 rpm,200 Nm @ 1250 rpm,FWD,4359.0,2010.0,1557.0,5.0,50.0
Honda,City ZX Diesel,1572496,2022,2500,Diesel,Automatic,Ludhiana,White,Second,Dealer,1498 cc,98 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4549.0,1748.0,1489.0,5.0,40.0
Volkswagen,Ameo Trendline 1.5L (D),532991,2016,69508,Diesel,Manual,Ranga Reddy,Yellow,Second,Individual,1498 cc,109 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,3995.0,1682.0,1483.0,5.0,45.0
Hyundai,Verna 1.6 VTVT SX AT,730975,2000,20000,Petrol,Automatic,Pune,White,Third,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Wagon R LXi CNG,241559,2007,89000,CNG,Manual,Lucknow,Grey,Second,Individual,998 cc,59@6200,77@3500,,3539.0,1475.0,1700.0,5.0,35.0
Mercedes-Benz,S-Class S 350D [2018-2020],17871114,2010,5000,Diesel,Automatic,Pune,Blue,Third,Individual,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0
MINI,Cooper S,3817711,2010,13000,Petrol,Automatic,Delhi,Brown,Second,Individual,1998 cc,189 bhp @,280 Nm @ 1250 rpm,,3850.0,1727.0,1414.0,4.0,44.0
Maruti Suzuki,Ertiga ZDi,601659,2013,45000,Diesel,Automatic,Gurgaon,Green,First,Corporate,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265.0,1695.0,1685.0,7.0,45.0
Mercedes-Benz,E-Class E200,994282,2019,65000,Petrol,Manual,Mumbai,Green,First,Dealer,1991 cc,184 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4879.0,1854.0,1474.0,5.0,80.0
Hyundai,Santro GL LPG,117793,2010,48500,LPG,Automatic,Lucknow,Silver,Third,Dealer,1086 cc,63@5500,89@3000,,3565.0,1525.0,1590.0,5.0,35.0
Ford,Mustang GT Fastback 5.0L v8,7696658,2007,25000,Petrol,Automatic,Chennai,Blue,First,Individual,4951 cc,396 bhp @ 6500 rpm,515 Nm @ 4250 rpm,RWD,4784.0,2080.0,1391.0,4.0,60.9
Hyundai,Verna 1.6 CRDI SX,1133951,2012,40000,Diesel,Manual,Ludhiana,Silver,Third,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Mercedes-Benz,B-class B180,1085234,2003,39000,Petrol,Automatic,Mumbai,Black,Third,Individual,1595 cc,120 bhp @ 5000 rpm,200 Nm @ 1250 rpm,FWD,4359.0,2010.0,1557.0,5.0,50.0
Porsche,911 Carrera 4,9815019,2001,9000,Petrol,Manual,Pune,Blue,Third,Individual,3436 cc,325 bhp @ 7400 rpm,390 Nm @ 5600 rpm,AWD,4491.0,1852.0,1304.0,4.0,68.0
Maruti Suzuki,Swift ZDi Plus,535742,2016,28851,Diesel,Manual,Kolkata,Yellow,Third,Dealer,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
BMW,X5 3.0d,1492041,2013,115000,Diesel,Manual,Coimbatore,Grey,Second,Individual,2993 cc,218@4000,480@1750,AWD,4854.0,1933.0,1776.0,5.0,85.0
Ford,Endeavour Titanium 2.0 4x2 AT,3996804,2000,20000,Diesel,Manual,Karnal,Grey,Third,Corporate,1996 cc,168 bhp @ 3500 rpm,420 Nm @ 2000 rpm,RWD,4903.0,1869.0,1837.0,7.0,80.0
Maruti Suzuki,Ertiga VXI CNG,757036,2008,76642,CNG,Manual,Mumbai,Blue,Second,Individual,1373 cc,94 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4296.0,1695.0,1685.0,7.0,45.0
Maruti Suzuki,Ciaz ZDi (O) [2014-2015],580394,2010,92000,Diesel,Automatic,Mohali,Red,First,Dealer,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Audi,Q5 35 TDI Premium Plus,4231006,2020,66000,Diesel,Automatic,Chennai,Yellow,First,Individual,,,,,,,,,
Land Rover,Discovery Sport HSE Luxury,4034488,2021,20000,Diesel,Automatic,Hyderabad,Green,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4600.0,2069.0,1690.0,7.0,65.0
Hyundai,Grand i10 Asta 1.1 CRDi [2013-2016],358573,2003,71000,Diesel,Automatic,Kanpur,Brown,Third,Dealer,1120 cc,70 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Kia,Seltos HTK Plus AT 1.5 Diesel [2020-2021],1658115,2013,63000,Diesel,Manual,Ahmedabad,White,Third,Corporate,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
Skoda,Rapid Ambition 1.6 TDI CR MT,689018,2021,117048,Diesel,Automatic,Hyderabad,Black,Second,Corporate,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
Porsche,Cayenne Diesel,5225345,2021,58000,Diesel,Automatic,Chandigarh,Green,Third,Corporate,2967 cc,245 bhp @ 4400 rpm,550 Nm @ 2750 rpm,AWD,4846.0,2155.0,1705.0,5.0,85.0
Hyundai,i10 Magna 1.2 Kappa2,236498,2022,53000,Petrol,Manual,Kanpur,Black,Third,Corporate,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
Honda,CR-V 2.4 AT,894383,2019,80121,Petrol,Manual,Mumbai,Blue,Second,Corporate,,,,,,,,,
Hyundai,Xcent SX 1.1 CRDi,563653,2016,39000,Diesel,Automatic,Jaipur,Yellow,Second,Corporate,1120 cc,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],7146543,2006,7000,Diesel,Automatic,Mumbai,Black,Second,Corporate,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
Maruti Suzuki,Baleno Zeta 1.2 AT,609709,2005,40000,Petrol,Automatic,Pune,Blue,Third,Dealer,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,Eon Magna [2011-2012],179868,2004,55700,Petrol,Automatic,Jamshedpur,Red,First,Corporate,814 cc,56@5500,75@4000,,3495.0,1550.0,1500.0,5.0,32.0
Mahindra,Quanto C8,233613,2001,51500,Diesel,Manual,Kolkata,Green,Second,Dealer,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985.0,1850.0,1880.0,7.0,55.0
Toyota,Fortuner 2.8 4x4 AT [2016-2020],3333420,2005,110000,Diesel,Manual,Chandigarh,Silver,Second,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,AWD,4795.0,1855.0,1835.0,7.0,80.0
Maruti Suzuki,Baleno Alpha Automatic,794228,2001,39000,Petrol,Automatic,Mumbai,Red,Third,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
Hyundai,Grand i10 Asta 1.1 CRDi [2013-2016],367951,2004,71000,Diesel,Automatic,Kanpur,Black,Second,Corporate,1120 cc,70 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],557300,2014,29000,Petrol,Manual,Bangalore,Red,First,Corporate,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
BMW,2 Series Gran Coupe 220d M Sport [2020-2021],3804523,2007,12136,Diesel,Automatic,Hyderabad,Silver,Second,Dealer,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4526.0,1800.0,1420.0,5.0,50.0
Mercedes-Benz,GLE 250 d,4718814,2013,34000,Diesel,Automatic,Navi Mumbai,Silver,Third,Dealer,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
Volkswagen,Vento Highline Petrol AT,357628,2008,50667,Petrol,Automatic,Mumbai,Yellow,First,Individual,,,,,,,,,
Audi,Q3 35 TDI Premium,1793144,2019,80000,Diesel,Manual,Chennai,Red,Third,Dealer,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Ford,Ecosport Titanium+ 1.0L EcoBoost,558430,2009,28000,Petrol,Automatic,Mumbai,Silver,First,Dealer,999 cc,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
Hyundai,Santro Sportz AMT [2018-2020],588350,2001,13772,Petrol,Manual,Bangalore,Green,Third,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610.0,1645.0,1560.0,5.0,35.0
Hyundai,Verna 1.6 CRDI SX,858426,2002,57000,Diesel,Manual,Bangalore,Blue,Second,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Honda,City 1.5 S AT,292209,2018,70200,Petrol,Automatic,Mumbai,White,Third,Corporate,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],3889223,2012,24000,Diesel,Manual,Hyderabad,Grey,Third,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
Toyota,Innova 2.4 VX 7 STR [2016-2020],2027042,2005,29000,Diesel,Automatic,Mysore,Silver,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
Toyota,Fortuner 3.0 4x4 MT,1538402,2020,211000,Diesel,Automatic,Jaipur,Grey,Second,Individual,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,AWD,4705.0,1840.0,1850.0,7.0,80.0
Mercedes-Benz,M-Class ML 250 CDI,2506522,2013,103000,Diesel,Manual,Mumbai,Green,First,Individual,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0
BMW,7-Series 730Ld DPE,5758478,2001,28000,Diesel,Automatic,Delhi,Blue,Third,Dealer,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 2000 rpm,RWD,5219.0,1902.0,1481.0,4.0,78.0
Nissan,Sunny XV Diesel,380490,2010,35000,Diesel,Automatic,Kanpur,Black,Second,Dealer,1461 cc,85 bhp @ 3750 rpm,200 Nm @ 2000 rpm,FWD,4425.0,1695.0,1505.0,5.0,41.0
Maruti Suzuki,Vitara Brezza VDi,761475,2008,73000,Diesel,Manual,Lucknow,Red,First,Dealer,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Mahindra,XUV300 1.5 W6 [2019-2020],881299,2012,60888,Diesel,Manual,Jalandhar,Silver,Third,Dealer,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995.0,1821.0,1627.0,5.0,42.0
Mercedes-Benz,C-Class C 200 Avantgarde,2634844,2000,28000,Petrol,Automatic,Gurgaon,Silver,Third,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
Honda,Mobilio S Diesel,495153,2008,72000,Diesel,Manual,Agra,Grey,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4386.0,1683.0,1603.0,7.0,42.0
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],1876461,2011,75000,Diesel,Automatic,Ahmedabad,White,Third,Dealer,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
Honda,Amaze VX CVT 1.2 Petrol,797321,2011,8700,Petrol,Automatic,Mangalore,Yellow,Second,Corporate,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
Mahindra,Bolero SLE BS IV,507035,2007,39234,Diesel,Automatic,Patna,Yellow,Third,Corporate,2523 cc,63 bhp @ 3200 rpm,195 Nm @ 1400 rpm,RWD,4107.0,1745.0,1880.0,7.0,60.0
Honda,CR-V 2.4 AT,798923,2021,80121,Petrol,Automatic,Mumbai,Grey,Second,Corporate,,,,,,,,,
Audi,A4 35 TDI Technology,3012878,2019,72400,Diesel,Manual,Bangalore,Silver,Second,Corporate,1968 cc,188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,FWD,4726.0,1842.0,1427.0,5.0,54.0
Toyota,Fortuner 3.0 4x2 AT,1127850,2020,125000,Diesel,Manual,Delhi,Blue,Second,Dealer,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3685125,2006,7800,Diesel,Automatic,Mumbai,Yellow,Third,Dealer,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
Audi,A6 35 TDI Matrix,2550507,2001,100000,Diesel,Manual,Jaipur,Yellow,Second,Corporate,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
Audi,A4 2.0 TDI (143bhp),1648866,2017,15000,Diesel,Manual,Delhi,Green,Second,Dealer,1968 cc,141 bhp @ 4200 rpm,320 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
Maruti Suzuki,Ritz Vxi (ABS) BS-IV,232648,2017,79000,Petrol,Manual,Faridabad,Grey,First,Dealer,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD,3775.0,1680.0,1620.0,5.0,43.0
